MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-561468,Cu2SiS3,S,1,12,6,3.5719,3.64963,3,['P31m'],157,-0.56556861,0.0354,[2],['SK-1'],['kgm'],True,True
mp-1219079,SmCo2Cu3,Cu,1,6,3,2.4734,4.11776,3,['P6/mmm'],191,-0.03211208,0.0,[2],['SK-1'],['kgm'],True,True
mp-14336,Cs2Ni3Se4,Ni,1,9,3,3.08917,5.32961,3,['Fmmm'],69,-0.8603749,0.6889,[2],['SK-1'],['kgm'],False,True
mp-1247063,DyMg2Ti3S8,Ti,1,14,3,3.68447,6.38262,4,['R-3m'],166,-1.72949696,0.0,[2],['SK-1'],['kgm'],True,True
mp-1247039,Mg2TiNi3S8,Ni,1,14,3,3.57355,6.10476,4,['R-3m'],166,-0.97408952,0.0,[2],['SK-1'],['kgm'],True,True
mp-1207723,Y(GaCo)6,Co,2,13,6,2.50083,3.91573,3,['Immm'],71,-0.33165119,0.0,[2],['SK-1'],['kgm'],False,True
mp-754232,Li4Co3WO8,Co,1,16,3,3.02916,5.19019,4,['R-3m'],166,-1.90258572,1.9312,[2],['SK-1'],['kgm'],True,True
mp-1225932,Dy2Ga3(Fe7C)2,Ga,1,21,3,4.27793,4.83444,4,['C2/m'],12,-0.1478629,0.0,[2],['SK-1'],['kgm'],False,True
mp-772177,Li2Fe3CuO8,Fe,1,14,3,2.97973,5.12547,4,['R-3m'],166,-1.53386807,0.0,[2],['SK-1'],['kgm'],True,True
mp-1224323,KNa3Al12H24(SO7)8,Al,4,104,12,3.52207,6.00879,6,['P2/m'],10,-2.24006099,5.4736,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1239190,TaCr3(AgS4)2,Cr,2,28,6,3.66394,6.1662,4,['P222_1'],17,-0.91884155,0.1774,[2],['SK-1'],['kgm'],False,True
mp-1178157,K(WO3)3,W,2,26,6,3.73693,3.89287,3,['Cc'],9,-2.23026066,0.5068,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
